,Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
454,2018,Daisy Education Corporation dba Sonoran Science Academy East,89915,Sonoran Science Academy - Broadway,89916,*,26,27,35,47,45,39,25,19,26,*,*,*,*,289
455,2018,Daisy Education Corporation dba. Sonoran Science Academy Davis Monthan,90284,Sonoran Science Academy - Davis Monthan,90285,*,*,*,*,*,*,*,*,39,35,30,15,16,14,159
456,2018,Daisy Education Corporation dba. Sonoran Science Academy Peoria,90541,Sonoran Science Academy-Peoria,90639,*,37,42,39,34,23,29,28,28,18,*,*,*,*,278
457,2018,"Deer Valley Charter Schools, Inc.",79496,Deer Valley Academy,79506,*,*,*,*,*,*,*,*,*,*,*,*,*,20,28
458,2018,Deer Valley Unified District,4246,Anthem School,78922,31,39,49,68,51,75,74,69,94,73,*,*,*,*,623
459,2018,Deer Valley Unified District,4246,Arrowhead Elementary School,5154,38,87,78,65,70,78,80,84,*,*,*,*,*,*,580
460,2018,Deer Valley Unified District,4246,Barry Goldwater High School,5162,*,*,*,*,*,*,*,*,*,*,479,392,386,379,1636
461,2018,Deer Valley Unified District,4246,Bellair Elementary School,5151,15,54,69,53,63,71,73,66,*,*,*,*,*,*,464
462,2018,Deer Valley Unified District,4246,Boulder Creek High School,85850,*,*,*,*,*,*,*,*,*,*,697,720,564,550,2531
463,2018,Deer Valley Unified District,4246,Canyon Springs,88399,14,70,75,65,78,79,99,95,91,122,*,*,*,*,788
464,2018,Deer Valley Unified District,4246,Constitution Elementary School,5146,51,86,78,82,80,97,77,61,*,*,*,*,*,*,612
465,2018,Deer Valley Unified District,4246,Copper Creek Elementary,5160,59,84,90,85,93,97,103,115,*,*,*,*,*,*,726
466,2018,Deer Valley Unified District,4246,Deer Valley High School,5161,*,*,*,*,*,*,*,*,*,*,414,397,389,373,1573
467,2018,Deer Valley Unified District,4246,Deer Valley Middle School,5142,*,*,*,*,*,*,*,*,262,273,*,*,*,*,535
468,2018,Deer Valley Unified District,4246,Deer Valley Online Learning Program,79414,*,*,*,*,*,*,*,*,*,*,*,11,16,37,70
469,2018,Deer Valley Unified District,4246,Desert Mountain School,5159,22,46,46,45,68,49,78,85,74,81,*,*,*,*,594
470,2018,Deer Valley Unified District,4246,Desert Sage Elementary School,5156,34,98,94,94,92,78,67,73,*,*,*,*,*,*,630
471,2018,Deer Valley Unified District,4246,Desert Sky Middle School,5150,*,*,*,*,*,*,*,*,291,327,*,*,*,*,618
472,2018,Deer Valley Unified District,4246,Diamond Canyon Elementary,85851,28,84,94,81,115,105,125,112,113,130,*,*,*,*,987
473,2018,Deer Valley Unified District,4246,Esperanza Elementary School,5157,31,90,96,71,79,73,70,70,*,*,*,*,*,*,580
474,2018,Deer Valley Unified District,4246,Gavilan Peak Elementary,80318,*,53,47,56,64,74,74,81,129,137,*,*,*,*,722
475,2018,Deer Valley Unified District,4246,Greenbrier Elementary School,5152,51,64,53,64,55,48,43,43,*,*,*,*,*,*,421
476,2018,Deer Valley Unified District,4246,Highland Lakes School,78921,*,80,75,95,86,99,111,121,205,233,*,*,*,*,1105
477,2018,Deer Valley Unified District,4246,Hillcrest Middle School,5155,*,*,*,*,*,*,*,*,475,470,*,*,*,*,945
478,2018,Deer Valley Unified District,4246,Las Brisas Elementary School,5158,13,112,101,96,97,97,132,134,*,*,*,*,*,*,782
479,2018,Deer Valley Unified District,4246,Legend Springs Elementary,79290,28,96,82,97,100,79,101,87,*,*,*,*,*,*,670
480,2018,Deer Valley Unified District,4246,Mirage Elementary School,5149,28,71,82,76,67,56,52,54,*,*,*,*,*,*,486
481,2018,Deer Valley Unified District,4246,Mountain Ridge High School,5163,*,*,*,*,*,*,*,*,*,*,536,572,559,512,2179
482,2018,Deer Valley Unified District,4246,Mountain Shadows Elementary School,5153,29,68,61,65,61,65,60,59,*,*,*,*,*,*,468
483,2018,Deer Valley Unified District,4246,New River Elementary School,5144,*,24,40,29,37,28,36,27,*,*,*,*,*,*,221
484,2018,Deer Valley Unified District,4246,Norterra Canyon K-8,89953,17,108,113,87,104,105,101,101,88,77,*,*,*,*,901
485,2018,Deer Valley Unified District,4246,Park Meadows Elementary School,5145,20,107,99,77,92,92,65,87,*,*,*,*,*,*,639
486,2018,Deer Valley Unified District,4246,Paseo Hills Elementary,6016,37,90,84,103,86,83,86,104,93,76,*,*,*,*,842
487,2018,Deer Valley Unified District,4246,Sandra Day O'Connor High School,80317,*,*,*,*,*,*,*,*,*,*,661,579,590,502,2332
488,2018,Deer Valley Unified District,4246,Sierra Verde Elementary,79574,*,98,99,116,99,106,128,121,125,107,*,*,*,*,999
489,2018,Deer Valley Unified District,4246,Sonoran Foothills,92907,29,111,102,93,88,97,91,100,80,78,*,*,*,*,869
490,2018,Deer Valley Unified District,4246,Stetson Hills Elementary,79573,27,88,96,101,124,123,111,125,128,138,*,*,*,*,1061
491,2018,Deer Valley Unified District,4246,Sunrise Elementary School,5147,23,72,76,77,93,72,72,64,*,*,*,*,*,*,549
492,2018,Deer Valley Unified District,4246,Sunset Ridge Elementary,81017,42,75,61,79,79,78,86,86,104,102,*,*,*,*,792
493,2018,Deer Valley Unified District,4246,Terramar Elementary,81016,30,86,82,100,94,89,112,114,121,110,*,*,*,*,938
494,2018,Deer Valley Unified District,4246,Village Meadows Elementary School,5143,77,75,59,64,57,64,82,61,*,*,*,*,*,*,539
495,2018,Deer Valley Unified District,4246,Vista Peak,92525,*,*,*,*,*,11,*,*,*,*,*,*,*,*,59
496,2018,Deer Valley Unified District,4246,West Wing Elementary,87528,*,93,89,94,125,105,116,134,140,123,*,*,*,*,1019
497,2018,Desert Heights Charter Schools,81099,Desert Heights Charter School,78950,*,82,84,80,68,68,*,*,*,*,*,*,*,*,382
498,2018,Desert Heights Charter Schools,81099,Desert Heights Preparatory Academy,92249,*,*,*,*,*,*,63,54,83,79,67,31,50,33,460
499,2018,"Desert Rose Academy,Inc.",79441,Desert Rose Academy Charter School,79442,*,*,*,*,*,*,*,*,*,*,11,17,26,118,172
500,2018,"Desert Sky Community School, Inc.",88308,Desert Sky Community School,88309,*,*,12,12,*,11,*,*,*,*,*,*,*,*,53
501,2018,Desert Springs Academy,10969,Desert Springs Academy,79259,*,20,13,17,11,*,*,*,*,*,*,*,*,*,77
502,2018,Desert Star Academy,92302,Desert Star Academy,92303,*,55,54,57,49,58,36,30,36,22,*,*,*,*,397
503,2018,"Desert Star Community School, Inc.",88321,Desert Star Community School,88322,*,19,17,24,24,23,16,24,24,23,*,*,*,*,194
504,2018,"Destiny School, Inc.",6258,Destiny School,10807,*,43,41,42,45,28,27,30,27,22,*,*,*,*,305
505,2018,Discovery Plus Academy,6357,Discovery Plus Academy,4898,*,20,20,20,20,20,16,*,*,*,*,*,*,*,116
506,2018,Double Adobe Elementary District,4179,Double Adobe Elementary School,4787,*,*,*,*,*,*,*,*,*,*,*,*,*,*,42
507,2018,Douglas Unified District,4174,Clawson School,4765,*,54,51,56,52,56,51,*,*,*,*,*,*,*,320
508,2018,Douglas Unified District,4174,Douglas High School,4773,*,*,*,*,*,*,*,*,*,*,447,396,308,282,1433
509,2018,Douglas Unified District,4174,Faras Elementary School,4767,*,23,29,28,27,25,23,*,*,*,*,*,*,*,155
510,2018,Douglas Unified District,4174,Joe Carlson Elementary School,4766,*,70,57,59,68,73,59,*,*,*,*,*,*,*,386
511,2018,Douglas Unified District,4174,Paul H Huber Jr High School,4771,*,*,*,*,*,*,*,151,174,180,*,*,*,*,505
512,2018,Douglas Unified District,4174,Ray Borane Middle School,4770,*,*,*,*,*,*,*,115,130,145,*,*,*,*,390
513,2018,Douglas Unified District,4174,Sarah Marley School,4768,*,34,38,35,34,47,40,*,*,*,*,*,*,*,228
514,2018,Douglas Unified District,4174,Stevenson Elementary School,4769,*,52,81,67,86,78,86,*,*,*,*,*,*,*,450
515,2018,Duncan Unified District,4228,Duncan Elementary,4902,*,31,23,19,28,33,26,19,32,27,*,*,*,*,240
516,2018,Duncan Unified District,4228,Duncan High School,4903,*,*,*,*,*,*,*,*,*,*,31,34,13,16,94
517,2018,Dysart Unified District,4243,Ashton Ranch Elementary School,81111,22,61,61,47,72,67,75,81,73,121,*,*,*,*,680
518,2018,Dysart Unified District,4243,Canyon Ridge School,89600,14,83,84,82,113,99,114,97,113,106,*,*,*,*,905
519,2018,Dysart Unified District,4243,Cimarron Springs Elementary,81112,15,81,95,70,77,100,90,80,116,100,*,*,*,*,824
520,2018,Dysart Unified District,4243,Countryside Elementary School,80052,12,56,54,53,60,77,76,59,101,108,*,*,*,*,656
521,2018,Dysart Unified District,4243,Dysart Elementary School,5128,45,77,79,77,92,104,93,123,108,118,*,*,*,*,916
522,2018,Dysart Unified District,4243,Dysart High School,5133,*,*,*,*,*,*,*,*,*,*,454,443,369,376,1642
523,2018,Dysart Unified District,4243,Dysart iSchool,90875,*,*,*,*,*,*,*,*,*,*,*,14,27,24,66
524,2018,Dysart Unified District,4243,El Mirage School,5129,46,83,53,81,79,94,82,81,81,94,*,*,*,*,774
525,2018,Dysart Unified District,4243,Kingswood Elementary School,5132,32,54,68,56,60,58,65,60,64,80,*,*,*,*,597
526,2018,Dysart Unified District,4243,Luke Elementary School,5130,51,67,84,64,81,85,83,78,88,93,*,*,*,*,774
527,2018,Dysart Unified District,4243,Marley Park Elementary,84683,12,139,111,88,116,109,143,142,161,134,*,*,*,*,1155
528,2018,Dysart Unified District,4243,Mountain View,89604,17,83,77,87,82,100,103,102,105,121,*,*,*,*,877
529,2018,Dysart Unified District,4243,Parkview Elementary,88416,52,53,58,74,68,79,84,77,65,79,*,*,*,*,689
530,2018,Dysart Unified District,4243,Rancho Gabriela,87621,14,68,67,69,105,94,92,98,111,121,*,*,*,*,839
531,2018,Dysart Unified District,4243,Riverview School,89821,45,77,78,96,77,109,100,89,81,92,*,*,*,*,844
532,2018,Dysart Unified District,4243,Shadow Ridge High School,90134,*,*,*,*,*,*,*,*,*,*,591,594,512,483,2180
533,2018,Dysart Unified District,4243,Sonoran Heights Elementary,88414,15,75,85,58,101,97,105,100,90,97,*,*,*,*,823
